,name,pos,team,url
243,Jordy Nelson,WR,OAK,https://www.fantasypros.com/nfl/games/jordy-nelson.php
244,Malcolm Brown,RB,LAR,https://www.fantasypros.com/nfl/games/malcolm-brown.php
245,Jarius Wright,WR,CAR,https://www.fantasypros.com/nfl/games/jarius-wright.php
246,Paul Richardson,WR,WAS,https://www.fantasypros.com/nfl/games/paul-richardson.php
247,James Develin,RB,NE,https://www.fantasypros.com/nfl/games/james-develin.php
248,Trenton Cannon,RB,NYJ,https://www.fantasypros.com/nfl/games/trenton-cannon.php
249,Sammy Watkins,WR,KC,https://www.fantasypros.com/nfl/games/sammy-watkins.php
250,Pierre Garcon,WR,SF,https://www.fantasypros.com/nfl/games/pierre-garcon.php
251,LeSean McCoy,RB,BUF,https://www.fantasypros.com/nfl/games/lesean-mccoy.php
252,Nick Chubb,RB,CLE,https://www.fantasypros.com/nfl/games/nick-chubb.php
253,Virgil Green,TE,LAC,https://www.fantasypros.com/nfl/games/virgil-green.php
255,Travis Benjamin,WR,LAC,https://www.fantasypros.com/nfl/games/travis-benjamin.php
256,Allen Hurns,WR,DAL,https://www.fantasypros.com/nfl/games/allen-hurns.php
257,Austin Carr,WR,NO,https://www.fantasypros.com/nfl/games/austin-carr.php
258,Derek Carrier,TE,OAK,https://www.fantasypros.com/nfl/games/derek-carrier.php
259,Cordarrelle Patterson,WR,NE,https://www.fantasypros.com/nfl/games/cordarrelle-patterson.php
260,Ricky Seals-Jones,TE,ARI,https://www.fantasypros.com/nfl/games/ricky-seals-jones.php
261,Evan Engram,TE,NYG,https://www.fantasypros.com/nfl/games/evan-engram.php
262,Mohamed Sanu,WR,ATL,https://www.fantasypros.com/nfl/games/mohamed-sanu.php
263,Jason Croom,TE,BUF,https://www.fantasypros.com/nfl/games/jason-croom.php
264,Laquon Treadwell,WR,MIN,https://www.fantasypros.com/nfl/games/laquon-treadwell.php
265,Geoff Swaim,TE,DAL,https://www.fantasypros.com/nfl/games/geoff-swaim.php
266,Alfred Morris,RB,SF,https://www.fantasypros.com/nfl/games/alfred-morris.php
267,Amari Cooper,WR,DAL,https://www.fantasypros.com/nfl/games/amari-cooper.php
268,Chester Rogers,WR,IND,https://www.fantasypros.com/nfl/games/chester-rogers.php
269,Zach Pascal,WR,IND,https://www.fantasypros.com/nfl/games/zach-pascal.php
270,Tajae Sharpe,WR,TEN,https://www.fantasypros.com/nfl/games/tajae-sharpe.php
271,Doug Martin,RB,OAK,https://www.fantasypros.com/nfl/games/doug-martin.php
